id	code	symbol	name	rootShape	handCommands	activeFingers	fingerShapeCommands
271169	0x42341	񂍁	HAND-FLAT HEEL THUMB SIDE	FLAT	HEEL	THUMB	THUMB:SIDE	
271265	0x423a1	񂎡	HAND-FLAT THUMB BENT	FLAT		THUMB	THUMB:BENT	
271361	0x42401	񂐁	HAND-FLAT THUMB FORWARD	FLAT		THUMB	THUMB:FORWARD	
271457	0x42461	񂑡	HAND-FLAT SPLIT INDEX THUMB SIDE	FLAT	SPLIT	MIDDLE,RING,LITTLE,THUMB	THUMB:SIDE	GROUP(CONJOINED:MIDDLE|RING|LITTLE)
271553	0x424c1	񂓁	HAND-FLAT SPLIT CENTRE	FLAT	SPLIT	INDEX,MIDDLE,RING,LITTLE		GROUP(CONJOINED:INDEX|MIDDLE),GROUP(CONJOINED:RING|LITTLE)
271649	0x42521	񂔡	HAND-FLAT SPLIT CENTRE THUMB SIDE	FLAT	SPLIT	INDEX,MIDDLE,RING,LITTLE,THUMB	THUMB:SIDE	GROUP(CONJOINED:INDEX|MIDDLE),GROUP(CONJOINED:RING|LITTLE)
271745	0x42581	񂖁	HAND-FLAT SPLIT CENTRE THUMB SIDE BENT	FLAT	SPLIT	INDEX,MIDDLE,RING,LITTLE,THUMB	THUMB:SIDE,THUMB:BENT	GROUP(CONJOINED:INDEX|MIDDLE),GROUP(CONJOINED:RING|LITTLE)
271841	0x425e1	񂗡	HAND-FLAT SPLIT LITTLE	FLAT	SPLIT	INDEX,MIDDLE,RING		GROUP(CONJOINED:INDEX|MIDDLE|RING)
271937	0x42641	񂙁	HAND-CLAW	CLAW				
272033	0x426a1	񂚡	HAND-CLAW THUMB SIDE	CLAW		THUMB	THUMB:SIDE	
272129	0x42701	񂜁	HAND-CLAW NO THUMB	CLAW		THUMB		GROUP(CONJOINED:THUMB|PALM)
272225	0x42761	񂝡	HAND-CLAW THUMB FORWARD	CLAW		THUMB	THUMB:FORWARD	
272321	0x427c1	񂟁	HAND-HOOK CURLICUE	HOOK	CURLICUE			
272417	0x42821	񂠡	HAND-HOOK	HOOK				
272513	0x42881	񂢁	HAND-CUP OPEN	CUP	OPEN			
272609	0x428e1	񂣡	HAND-CUP	CUP				
272705	0x42941	񂥁	HAND-CUP OPEN THUMB SIDE	CUP	OPEN	THUMB	THUMB:SIDE	
272801	0x429a1	񂦡	HAND-CUP THUMB SIDE	CUP		THUMB	THUMB:SIDE	
272897	0x42a01	񂨁	HAND-CUP OPEN NO THUMB	CUP	OPEN	THUMB		GROUP(CONJOINED:THUMB|PALM)
272993	0x42a61	񂩡	HAND-CUP NO THUMB	CUP		THUMB		GROUP(CONJOINED:THUMB|PALM)
